song_id,beat_fmeasure,beat_cmlt,beat_amlt,downbeat_fmeasure,downbeat_cmlt,downbeat_amlt
1000338,0.6450567260940032,0.0,0.6076555023923444,0.641025641025641,0.0,0.6037735849056604
100049,0.6471204188481675,0.0,0.9596273291925466,0.6527196652719666,0.0,0.975
1004378,0.6138613861386139,0.0,0.7321428571428571,0.6141732283464567,0.0,0.7142857142857143
1019290,0.6149068322981366,0.0,0.7321016166281755,0.5454545454545454,0.0,0.711864406779661
1022167,0.6044083526682135,0.0,0.8834782608695653,0.4511627906976744,0.0,0.4652777777777778
1028706,0.9773869346733668,0.945137157107232,0.945137157107232,0.0098522167487684,0.0,0.0
1029377,0.6618049225159526,0.0,0.983651226158038,0.65,0.0,0.9574468085106383
1029921,0.6618049225159526,0.0,0.983651226158038,0.65,0.0,0.9574468085106383
1034072,1.0,1.0,1.0,0.994535519125683,0.9782608695652174,0.9782608695652174
1037092,0.644,0.0,0.940828402366864,0.5112781954887218,0.0,0.6170212765957447
1050313,0.527284681130835,0.0,0.4198473282442748,0.3937007874015747,0.0,0.5038167938931297
1053528,0.5702270815811608,0.0,0.72544080604534,0.476510067114094,0.0,0.5353535353535354
10583,0.8922056384742952,0.8121212121212121,0.8121212121212121,0.0,0.0,0.7951807228915663
1061535,0.6222222222222223,0.0,0.7666666666666667,0.2215189873417721,0.0,0.2666666666666666
1067110,0.6428003182179793,0.0,0.7298578199052133,0.1509433962264151,0.0,0.9351851851851852
1067794,0.644852354349561,0.0011890606420927,0.7333333333333333,0.1509433962264151,0.0,0.9351851851851852
1074059,0.651632970451011,0.0,0.8597701149425288,0.5838509316770186,0.0,0.9722222222222222
1080224,0.6529209621993127,0.0,0.935897435897436,0.6258503401360545,0.0,0.9191919191919192
1084537,0.6490872210953347,0.0248447204968944,0.8070175438596491,0.5815602836879433,0.0,0.6938775510204082
1085236,0.6471204188481675,0.0,0.9596273291925466,0.6527196652719666,0.0,0.975
1087943,0.6642268984446478,0.0,0.989041095890411,0.6523297491039427,0.0,0.9574468085106383
1090503,0.6412556053811659,0.0,0.8791946308724832,0.6050420168067226,0.0,0.8048780487804879
109185,0.6517857142857143,0.0,0.955026455026455,0.6501766784452296,0.0,0.9479166666666666
1093093,0.6485013623978202,0.0,0.902439024390244,0.594059405940594,0.0,0.7428571428571429
1098183,0.5574297188755021,0.0,0.3967517401392111,0.3990825688073394,0.0,0.1842105263157894
1100637,0.6471204188481675,0.0,0.9596273291925466,0.6527196652719666,0.0,0.975
1108211,0.576271186440678,0.0,0.7610062893081762,0.5714285714285714,0.0,0.8048780487804879
110870,0.6256627783669142,0.0,0.946372239747634,0.6244725738396624,0.0,0.9873417721518988
1109062,0.6580829756795422,0.0,0.9808102345415778,0.6028169014084507,0.0,0.8583333333333333
1110400,0.9668386145910096,0.9404934687953556,0.9404934687953556,0.3355263157894737,0.0,0.0
1116883,0.9725274725274724,0.9407008086253368,0.9407008086253368,0.0105263157894736,0.0,0.0
1123753,0.646559849198869,0.0,0.9634831460674156,0.6441947565543071,0.0,0.9887640449438202
1136580,0.6374269005847953,0.0,0.9356223175965666,0.6358381502890172,0.0,0.9152542372881356
1139820,0.4741573033707865,0.0015527950310559,0.7105978260869565,0.3263888888888889,0.0,0.0186335403726708
1146727,0.6339869281045751,0.0,0.8640776699029126,0.6349206349206349,0.0,0.4722222222222222
1153093,0.3101851851851852,0.0,0.410958904109589,0.2909090909090909,0.0,0.8421052631578947
1153323,0.3889384478144513,0.0,0.0022396416573348,0.2346041055718475,0.0088888888888888,0.6147186147186147
1169856,0.5360072926162261,0.0,0.5766666666666667,0.4372093023255814,0.0071428571428571,0.3466666666666667
1171113,0.6435536294691224,0.0,0.939297124600639,0.6382978723404256,0.0,0.9
1177496,1.0,1.0,1.0,0.9974683544303796,0.98989898989899,0.98989898989899
