title,artist,creator,tags,num_timing_points,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Despacito ft. R3 Music Box,Will Stetson,Sotarks,cut edit reggaeton universal music latino short ver version akitoshi corinn -laura- shunao shogunmoon snownino_ nevo monstrata mir piggey hakura hightec armin a_r_m_i_n lami intoon luis fonsi daddy yankee ThatTromboneGuy ringtone size kin,13,2,46.785291666666666,798007,0.0213742388767125
MAYDAY (feat. Laura Brehm),TheFatRat,Sotarks,akitoshi corinn -laura- shunao shogunmoon armin a_r_m_i_n Dance Edm Female Vocal,16,3,105.71888888888888,798261,0.0189180951580186
Darkness,V.K.,Niva,nivalis katty pie chapter 4 ch4 v.k kloudhsu,13,4,108.32979591836737,79838,0.0276932119604533
Black Rover (TV Size),Vickeblanka,Dashyy-,anime op opening clover hypercyte,145,18,88.064125,798677,0.1930411504117028
02: Amber Wishes,Ice,FrenZ396,happy hardcore piano full version N.M.S.T shota paradise KIVΛ 3R2 LunaticSounds instrumental video game frenz seto kousuke akareh shizuku- shizuku ioexception deadcode scubdomino jungkyuyoung eiri- ayyri alchyr,51,4,263.8943333333333,801704,0.0113681865089941
Tank!,SEATBELTS,Monstrata,cowboy bebop yoko kanno sunrise spike spiegel jet black faye valentine edward wong ein alternator jazz i think its time to blow this scene get everybody and the stuff together ok three two one let's jam 321 english anime rock steve conte big band hard bop instrumental 菅野よう子,504,270,207.25551020408165,801747,1.297914828585833
Rinn Ding Dong,Rigel Theatre,kwk,L'avenir de la Flesvelka Neo Pagan Folk  13End Card ミーウェル  miwelle Saturnalize moph,64,22,253.0742857142857,804648,0.082979588150289
Sign (TV Size),FLOW,Nao Tomori,lasse naotoshi naruto shippuden opening six 6 ninjas anime male vocal,28,14,88.992,805479,0.1460805465659834
Zankoku na Tenshi no These (TV Size),Takahashi Yoko,CptSqBany,Neon Genesis Evangelion Anime Opening TV Size A Cruel Angel's Thesis Angel ReFaller Minorsonek walao walaowey Matsubara Kanon <TV.Size Version> Shin Seiki Evangerion,136,16,93.38775,806105,0.1606206381457953
Pokemon Theme (TV Size),Jason Paige,matthewrigaud11,TheKoala Sylas gotta catch 'em all Pocket Monsters ポケットモンスター Poketto Monsuta 2.B.A. Master soundtrack English adaptation,65,9,65.22775510204082,807345,0.1226471766119343
Pray (TV Size),Rachel (CV: Chisuga Haruka),Hey lululu,satsuriku no tenshi angels of death ending ed deco*27 bigfrog Misure MiyohashiKoori Yugu Kibbleru,18,6,90.28075,810021,0.0553827920126937
Rampage,Virtual Riot,C00L,dnb dubstep drumstep electronic wubs neurofunk cool smoothie world Theaceae -Visceral- KKipalt kkip ZinedineZidane zizou reform Kujinn nao tomori Instrumental The Classics,155,5,214.90938775510205,810556,0.0186124954418378
Axium Crisis,ak+q,MrSergio,Marcuddles artcore lowiro Video Game Instrumental,166,8,150.62204081632652,812551,0.0464739420742282
Datsugoku,Neru feat. Kagamine Rin,Ryuusei Aika,Jailbreak tt mouse tt_mouse kyle y kyle_y ayyri eiri- djulus pino -[pino]- mirash foxy grandpa foxygrandpa vocaloid ボーカロイド 白神真志朗 新保恵大 yasu マイネームイズラヴソング my name is love song しづ sidu,486,156,226.392,813468,0.6846531679564649
Sora ni Utaeba,amazarashi,Sotarks,boku no hero academia op opening 3 cut edit ver version akitoshi corinn -laura- nikakis snownino_ kalibe,51,7,164.05768707482994,813969,0.0365725014595828
I Am... All Of Me (Game Ver.),Crush 40,-Zeraora,シャドウ・ザ・ヘッジホッグ op opening ORIGINAL SOUNDTRAX Jun Senoue Johnny Gioeli Takeshi Taneda Toru Kawamura WAVE MASTER WAVEMASTER INC. Sonic ソニックザヘッジホッグ ソニック ザ ヘッジホッグ ソニック・ザ・ヘッジホッグ SEGA intro LOST AND FOUND VOCAL TRAX Track オリジナル サウンドトラックス Microsoft Xbox Nintendo Gamecube GCN NGC Sony Playstation 2 PS2 Main Theme Short Version English Video Game Rock シャドウザヘッジホッグ シャドウ OFFICIAL SOUNDTRACK Penguiness Error- -Keitaro -Harpuia-,184,114,111.56897959183674,819347,1.012826328728635
Heart Shaker,TWICE,ailv,alvi kpop k-pop jyp entertainment japan korea once christmas xmas Merry & Happy sana jihyo dahyun nayeon jeongyeon chaeyoung momo mina shuwa tzuyu 나연 정연 모모 사나 지효 미나 다현 채영 쯔위 Tatan shiinoha kotone tomadoi,22,2,186.895873015873,819769,0.0053505729359527
R,Roselia,Doormat,Mordred BanG Dream! Girls Band Party bandori garupa ガルパ ロゼリア full size minato yukina 湊友希那 aiba aina 相羽あいな hikawa sayo 氷川紗夜 kudou haruka 工藤晴香 imai lisa 今井リサ endou yurika 遠藤ゆりか nakashima yuki 中島由貴 udagawa ako 宇田川あこ sakuragawa megu 櫻川めぐ shirokane rinko 白金燐子 akesaka satomi 明坂聡美  shizaki kanon 志崎樺音 anime video game japanese,112,21,285.408,820180,0.0700751205292073
Hysteric Night Girl (feat. Such),PSYQUI,Nathan,jpop mir sukinathan,156,33,306.1551020408163,821981,0.1045221843003413
"Rock, Scissors, Paper",ONE OK ROCK,Haya,nicovideo mad amv Tenshichan Bomber34 LunarSakuya Sakuya Bomber,30,10,160.26841666666667,82282,0.0561557928080028
Coffins,Pegboard Nerds x MisterWives,NeilPerry,lcfc lowcombofc taku uc undeadcapulet dubstep trap wub monstercat,98,18,214.998125,823272,0.0790704570097995
1HOPE SNIPER,Tadokoro Azusa,Sotarks,"TRICKSTER -Edogawa Ranpo ""Shounen Tanteidan"" Yori TRICKSTER -From Edogawa Ranpo's ""The Boy Detectives Club"" ending full ver version akitoshi corinn -laura- Naotoshi nao tomori snownino_ lasse kalibe",109,32,210.5730612244898,824132,0.147217311747922
Fiction (TV Size),sumika,Agent_James,wotakoi wotaku ni koi wa muzukashii Love is Hard for Otaku opening e.p,35,10,86.30933333333333,826106,0.1042760921955138
USAO ULTIMATE HYPER MEGA MIX,USAO,Nathan,medley miracle 5ympho boss rush dynamite outbreak zed hastur the commanders night sky brogamer invoker rlc sukinathan xlni gratz professionalbox probox toybot,226,6,311.96,830666,0.0160276958584433
Vulnerability,Mili,IceKalt,miracle milk electronic saihate records hamo hamoloid yamato kasai Xenok Saturnalize Myxomatosis desperate-kun pandahero,168,4,128.73141666666666,835194,0.0233043345414904
Lemuria,Festa,QuiescentRabbit,blastthekidd side crazyrabbitkge nayarii elcheer mentai xi piano artcore electronic deathstream rsi evolved chronicles,215,9,143.49061224489796,835474,0.0557527762606954
Hoshie (TV Size),sajou no hana,AirinCat,sana Sho Watanabe P A works Yuliy Mikhail ending burr cris- spoes,26,6,89.928,837568,0.0556000355840227
Mercury: Retrograde,GHOSTEMANE,Anishina Kodoku,rap trap hip-hop m3gb3g kalindraz nattu kreep noise hexada english,8,4,125.13879166666666,838193,0.0239733815553463
THE REAL FOLK BLUES,Seatbelts feat. Yamane Mai,moph,Cowboy Bebop Yoko Kanno 菅野よう子 vitaminless ビタミンレス,302,172,252.3933786848073,840047,0.6775138115391982
DANZEN! Futari wa PreCure Ver. MaxHeart (TV Size),Gojou Mayumi,Sotarks,作詞：青木久美子 作曲：小杉保夫編曲：佐藤直紀 うた：五條真由美 マックスハート Pretty Cure Anime,25,4,81.65877551020408,840260,0.0367382437619961
