title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Exterminate,Nana Mizuki,Blizs,Senki Zesshou Symphogear GX opening TV Size Elements Garden 上松範康 Agematsu Noriyasu Fantastica ShiraKai Natsu Euny Luna- Dark_Accelerator,11,99.84533333333333,351537,0.10015490625500775
Rolling star,YUI,pkhg,kuchiki rukia opening can't cant buy my love ブリーチ Yoshioka 吉岡唯,2,190.14530612244897,351838,0.005259135870311856
SELFISH,muzzle-lab,Sauziteoi,獣音ロウ kemonone rou ユウマ Yuuma 吟p ぎんP Gin-P clavinord 緑のたぬP Midori no Tanu ロクサメル TRICHROMATIK UTAU獣人 utau juujin furry,12,199.653875,352375,0.0550953493890364
Orange,Kugimiya Rie. Horie Yui. Kitamura Eri,Doyak,Sonnyc Startrick Taeyang Toradora! Ending ED 2 Aisaka Taiga Kushieda Minori Kawashima Ami,2,90.39225,352714,0.011062895325650152
Dance Number o Tomo ni,Nanahoshi Kangengakudan feat.Matsushita,pkk,pkmnyab deetz dansunanba tomoni hatsune miku dance number  rock guitar hujuniseikouyuup fujuniseikouyuup 不純異性交遊p illicit sexual relations monaka モナカ EXIT TUNES ACADEMY Best PRESENTS Kamikyoku wo Utatte Mita 6,8,264.90993197278914,353398,0.026424075337118814
Frightfully-insane Flan-chan's frightful song,Nanahira,Sherry,Niconico Patchouli Knowledge the Embodiment of Scarlet Devil The Centennial Festival for Magical Girls flandre scarlet Ultimate Synthesis Halozy SumiJun Izumin eLtigreXXx inaba-tan Wafu,19,257.99709750566893,35375,0.06976822675148309
Another Day,DJ Siesta,Streliteela,Dulcet Series Summer Special Collection 2nd Lost Time and Memory GMO夏日特辑2 Mei DreaM117er m1223961117 sheela901 appleeaterx Squirrel Instrumental Piano Chord cut version,7,108.74775,354179,0.055173555314937554
Sakurairo Time Capsule,*namirin,Fuccho,a mystery rokkea fuyuyu- suzumu vocaloid gumi ケビョウニンゲン kebyou ningen cherry blossom colored utaite nami 歌ってみた,11,276.32326530612244,355236,0.0361894970693893
Toki wo Kizamu Uta,Lia,kanpakyin,KayeSara Nymph wcx19911123 JoJo karenying [Shalon],39,294.217125,35701,0.12915631610498537
Rock on.,nano,eINess,movie ending Aoki Hagane no Arpeggio of Blue Steel Ars Nova,14,99.5265306122449,358451,0.13061843832020997
The Eco-Terrorist In Me,Rise Against,BOUYAAA,The Black Market rock punk pishifat,21,165.35508333333334,358609,0.12095183042956546
Dou Iu Koto Nano!?,Hatsune Miku,Raging Bull,Vocaloid Vocaloid2 KuchibashiP OzzyOzrock What do you mean,6,241.00570833333333,36198,0.020746396567024605
HOLY KNIGHT,EYEMEDIA,snowsign7,omega Hindsight,2,134.0865306122449,362316,0.007457870640950711
Dear Brave,Kano,chucentry,HEAVY OBJECT iMage-- Meg Yuii- Del05 Laurier ending tv size,4,90.14858333333333,364395,0.03327839317127372
Itsuwari NEUROSE,MY FIRST STORY,Saut,SkinnyJommy Broccoly,3,260.31020408163266,365963,0.00768314099347717
Livin' On A Prayer,Bon Jovi,Behonkiss,,57,249.34678125,3668,0.22458681728020102
Orarion,yanaginagi,Gaia,Rizia Kawaiwkyik qoot8123 owari no Seraph of the end battle in nagoya kessen hen ending tv size Gazelle,17,91.032,368884,0.17576236927673786
My Dearest (TV Edit),supercell,monstrata,walaowey milan- koeda ryo guilty crown inori,10,150.18329166666666,370819,0.05992677281288781
Hana Kagerou,Minamotoya feat. Kuroa*,DreaM117er,sdvx m1223961117,11,123.77675,371569,0.0807906169777442
Disconnected Hardkore (CanBlaster Remix),Inspector K,Shiirn,Zelos lolcubes,16,115.88,37242,0.12944425267518123
Hopes and Dreams,toby fox,pkk,asriel dreemurr chiptune radiation,3,182.46419501133786,373373,0.010961054577725372
Miraikei Answer (Anime OP Version),TRUSTRICK,Umi,俺物語!! opening Momochikun Natsu,4,90.63333333333334,374184,0.03310040456050018
Endless Story (TV Size),Tamura Yukari,Vicho-kun,cube cursed curious cube x cursed x curious cubexcursedxcurious op opening starchild silver link. chihara minori eri kitamura suzully climbb climbb65588 Kenezz KenezzEdward net45291,4,89.9998125,37479,0.033333402777922454
Comet Lucifer ~The Seed and the Sower~,fhana,Mikii,opening evilelvis towana junichi sato yuxuki waga kevin mitsunaga,4,90.10133333333333,374875,0.03329584467858412
Koiseyo Otome! (Game Size),Chihiro Yonekura,Shioi,sabbat of the witch yuzu soft visual novel eroge hentai opening sanoba no_dap dap shioi yuria kibbleru anais scanter underflow rayon moeka,3,90.51428571428572,374937,0.022095959595959596
Le jour,Satomi Sato,Garden,Ushinawareta Mirai wo Motomete In Search of the Lost Future animation tv size opening Narcissu Misure Kagamine Ren Karen TRUMPLE eroge,13,88.16325,375378,0.13611113474151645
When It Falls (feat. Casey Lee Williams),Jeff Williams,Pho,season volume 3 three opening red white black yellow tv size tvsize,9,79.08877551020409,376314,0.10115215399899363
Light My Fire (TV Size),KOTOKO,osuplayer111,Sorda S_o_r_d_a Vicho-kun kanpakyin lolcubes ryo supercell,35,89.34675,37838,0.3805398629496876
Climber (TV Ver.),Galileo Galilei,Trust,haikyuu haikyu season 2 tv size ending umi,5,88.63733333333333,383785,0.04512771142332802
Endless Story,Tamura Yukari,lolcubes,cube cursed curious cube x cursed x curious cubexcursedxcurious,6,228.8206575963719,38426,0.021851173982812985
My Dearest (TV Size),supercell,Ryafuka,Koeda opening ryo,12,90.72,38579,0.12125220458553793
Dear Brave,Kano,Fycho,Heavy Object ending full ver thzz cah-m,6,258.72591666666665,390668,0.019325470228952066
I Bet You Look Good on the Dancefloor,Arctic Monkeys,Mashley,gonzvlo,47,173.748375,39217,0.26475067752432213
